microservice	header_emit_rolled_out	gauge_published	mesh_retry_integration	audit_chain_emit	rollout_status	owner_team
foundry	pending	pending	pending	pending	not-started	axis-foundry
observability	pending	pending	pending	pending	not-started	ops-sre-reliability
tenancy	pending	pending	pending	pending	not-started	axis-workspace
audit-chain	pending	pending	pending	pending	not-started	council-architecture
cell	pending	pending	pending	pending	not-started	ops-dr-capacity
workflow-engine	pending	pending	pending	pending	not-started	axis-workspace
workflow-studio	pending	pending	pending	pending	not-started	axis-workspace
ontology	pending	pending	pending	pending	not-started	council-architecture
governance	pending	pending	pending	pending	not-started	council-architecture
cloud-iac	pending	pending	pending	pending	not-started	axis-cloud
cloud-k8s	pending	pending	pending	pending	not-started	axis-cloud
cloud-secrets	pending	pending	pending	pending	not-started	ops-security
network	pending	pending	pending	pending	not-started	axis-cloud
application	pending	pending	pending	pending	not-started	axis-workspace
calendar	pending	pending	pending	pending	not-started	axis-workspace
community	pending	pending	pending	pending	not-started	axis-saas
connect	pending	pending	pending	pending	not-started	axis-saas
drive	pending	pending	pending	pending	not-started	axis-workspace
forms	pending	pending	pending	pending	not-started	axis-workspace
mail	pending	pending	pending	pending	not-started	axis-workspace
meet	pending	pending	pending	pending	not-started	axis-workspace
messenger	pending	pending	pending	pending	not-started	axis-saas
notes	pending	pending	pending	pending	not-started	axis-workspace
recordings	pending	pending	pending	pending	not-started	axis-workspace
sheets	pending	pending	pending	pending	not-started	axis-workspace
shorts	pending	pending	pending	pending	not-started	axis-saas
sites	pending	pending	pending	pending	not-started	axis-workspace
slides	pending	pending	pending	pending	not-started	axis-workspace
social	pending	pending	pending	pending	not-started	axis-saas
tasks	pending	pending	pending	pending	not-started	axis-workspace
translate	pending	pending	pending	pending	not-started	axis-workspace
anonymous	pending	pending	pending	pending	not-started	council-privacy
