# Oyatie pre-wipe local-only tip disposition manifest
# generated_at_utc	2026-08-04T11:34:52Z
# source_checkout	/Users/jasonlee/Developer/oyatie
# baseline_origin_dev	a76817c2d92a378a8ca5d93c0fcf0a0affc0947b
# claim_ceiling	recovery-only preservation evidence; not integration, review, release, or runtime authority
# scan_scope	52 branches; 4840 unique path objects; 2139 blobs; 82011665 bytes
# scan_result	35 archive scan-clear; 9 quarantine; 8 discard; 22 redacted findings across quarantine tips
# quarantine_bundle_sha256	a6b66d0577dc70f8a5d5ac5bee2e8c7f58f2e5ec0a7e1ed80851375820ab960d
# restricted_content	no secrets, generated Talos configs, raw .omx/.omc state, caches, or build outputs are embedded in this manifest tree
disposition	ref	sha	commit_date	reason	subject
archive	agent/auth-durable-stores	29ffe15234e7cda30ebdffd28680dc29294a5515	2026-06-21 05:05:20 -0400	useful or uncertain; unique added blobs scan-clear	AUTH W2-S1: declarative Postgres/RLS durable-store plans behind tenant-lifecycle + SCIM kernel ports
discard	agent/authz-coverage-gate-rebase	2d92e9c47803ea67872cdc6d09ac19949a37b29b	2026-06-22 19:31:21 -0400	generated accounting-face re-settlement only	chore: re-settle accounting faces after rebase onto origin/dev (55ad78ae2)
archive	agent/cloud-intelligence-agent-canary-20260610	4fa3836ce2cb3f7ed98aef987a16bc28b210ce23	2026-06-10 12:22:12 -0400	useful or uncertain; unique added blobs scan-clear	Hardens cloud intelligence canary review blockers
archive	agent/object-store-cas-20260630	abdf653a9f860e0ba281b7e1e98e274e7ae769f9	2026-06-30 08:34:07 -0400	useful or uncertain; unique added blobs scan-clear	fix(object-store): enforce trusted WORM write time
quarantine	chore/file-pr-scaffold-discoverability	735e4fed1b13cb0554700e575e0f88eefe8c7ccf	2026-07-26 21:28:15 -0400	scan finding: credential-prefix-marker	fix(registry): correct the admission-friction row and drop the false duplicate-template row
archive	ci/arc-arm64-runner	bf226a0281dd7f17a61302622ba2cdec1106d176	2026-07-29 06:23:54 -0400	useful or uncertain; unique added blobs scan-clear	feat(ci): add the aarch64 arm to the digest-pinned buck2 installer
archive	ci/arc-smoke	b30f4f001e318e087e5389c24f294c24c89aa086	2026-07-30 00:19:05 -0400	useful or uncertain; unique added blobs scan-clear	ci: prove baked toolchain + CNPG per-run DB + real gate on the owned runner
archive	debrand/move2-bus-boundary	045dab6da232e19ae082ac441770bf8868a0f800	2026-07-09 08:43:03 -0400	useful or uncertain; unique added blobs scan-clear	refactor(messaging): home event-bus boundary into messaging/core (de-brand MOVE-2)
quarantine	docs/adr-0510-cutover-trigger-measurement	224cf074f130341872dc0e8d677429596db223f1	2026-07-31 06:45:39 -0400	scan finding: raw-agent-runtime-state-path	docs(adr-0510): measure the four cutover triggers against reality
quarantine	docs/sapling-mononoke-vs-adr-0518-destination	b16f5827e9839f7b43a913c696cffe366efca882	2026-07-31 06:44:46 -0400	scan finding: raw-agent-runtime-state-path	docs(scm): evaluate Sapling/Mononoke as an ADR-0518 implementation — reject server, harvest design
archive	feat/graph-equivalence-oracle	3f7b84d60cda14b49fd48204dbf7d6022bea760e	2026-07-26 15:29:53 -0400	useful or uncertain; unique added blobs scan-clear	fix(reorg-codemod): reject vacuous graph proofs (empty + plan-coverage guards)
archive	fix/adr-0363-repair-vocab-scrub-corruption	84bae8789c8cf055fd41e5b7c7f21a4ba629176a	2026-07-31 06:52:02 -0400	useful or uncertain; unique added blobs scan-clear	fix(governance): repair ADR-0363 text corrupted by a mechanical vocab scrub
archive	fix/affected-baseline-reuse	c4b18573c1b2f6f7efe0cde5d043cf8366d3af5d	2026-08-04 00:06:55 -0400	useful or uncertain; unique added blobs scan-clear	fix(ci): reuse green affected-set baselines from red runs
archive	fix/arc-isolated-postgres-cell	3877fa8c7623b94bf917217f36dcbcc69f94c96e	2026-08-04 00:37:34 -0400	useful or uncertain; unique added blobs scan-clear	fix(ci): close ARC cell admission accounting
archive	fix/authz-scan-roots-prewiden	a2a158e7d397f80f93418ea5c78eefe3c3a099e6	2026-07-29 05:32:45 -0400	useful or uncertain; unique added blobs scan-clear	fix(ci): extend scan_roots pre-widening to embedded-asset-hermeticity
archive	fix/buck2-daemon-idle-timeout-20260726	a68b3735757480845df9b941a48d68ffbd059600	2026-07-26 02:49:38 -0400	useful or uncertain; unique added blobs scan-clear	fix(build): halve the abandoned buck2 daemon tail (4h -> 2h)
archive	fix/ci-disk-reclaim-false-infra-red	b8150cfed4bdbc1f00f250a8d58b037321de673b	2026-07-31 04:26:56 -0400	useful or uncertain; unique added blobs scan-clear	fix(ci): delete the hosted-runner disk-reclaim preflight from the owned arm64 lanes
archive	fix/ci-faces-artifact-is-a-cache-not-a-dependency	7812629025a7cfa7694e245c6dbc74f0f472ab56	2026-07-31 12:35:19 -0400	useful or uncertain; unique added blobs scan-clear	fix(ci): keep the faces upload FATAL — best-effort for evidence, fatal for inputs
archive	fix/issue-1195-live-pr-metadata	d89604d5efa2c941290df5364fc8f6cc13d95acb	2026-07-24 23:01:01 -0400	useful or uncertain; unique added blobs scan-clear	test(ci): lock live PR metadata admission
archive	fix/reorg-plan-selection-and-park	370e2c7b9a4af7f106cdc1c6d2244509479793a9	2026-08-03 08:49:16 -0400	useful or uncertain; unique added blobs scan-clear	docs(reorg): qualify determinism canary boundary
archive	fix/w0b-protocol-firewall-20260802	b13093433a056f1da13703e9d6e8e7e82550a51e	2026-08-02 02:04:04 -0400	useful or uncertain; unique added blobs scan-clear	fix(ci): wire protocol corpus into the build graph
discard	g007-c2a-target-parity-face-settle	c213d2d92d01fdb6b2cd81bac8ced9dbd477c1e8	2026-06-27 00:22:23 -0400	generated target-parity baseline only	chore: settle target parity generated baseline
archive	gjc/G3G4-observability-exec-20260628	df0b4c7a09cec621eff45868a8c03f05b08d0665	2026-06-28 20:48:26 -0400	useful or uncertain; unique added blobs scan-clear	fix: implement G3 adapters and G4 governance truth
quarantine	gjc/ouroboros-completion-20260629	36931d6957110449dae1653a2ad0e42ceacc8a90	2026-06-29 09:41:27 -0400	scan finding: credential-prefix-marker	Require full hyperscaler evidence domains
archive	ooo/orch_10ab36e69c30	8cd724a4c84aed101269dd230d95a431f90b9ec0	2026-07-02 03:59:11 -0400	useful or uncertain; unique added blobs scan-clear	wip: partial masterplan v2 + fabric loop from run orch_10ab36e69c30 (failed on provider stream timeout; ACs 1 complete, 12/14 sub-ACs done)
quarantine	ooo/orch_6e947c582056	72b0b21463e9258a4e4a8f92138a27a26289cfc9	2026-07-03 05:43:11 -0400	scan finding: credential-prefix-marker,private-key-marker,raw-agent-runtime-state-path	docs(hygiene): retire HANDOFF.md, convert SECURITY-PROGRAM.md->json (de-staled), refresh README; untrack eval scaffolding
archive	ooo/orch_809bd09d8ad9	6d6ed291b85e2ec9c56a235cc8d2d92a4b5f1872	2026-07-02 10:42:15 -0400	useful or uncertain; unique added blobs scan-clear	gate(masterplan-suite): record green oya-ci-required run 28596752891 admitting PR #1182 (Sub-AC 4.5)
discard	ooo/orch_809bd09d8ad9-red-probe	ba042a70bd6fcd98cba0d5287531a4501b85436f	2026-07-02 09:41:05 -0400	explicit NEVER-MERGE red probe	probe(masterplan-gate): NEVER-MERGE red evidence probe - duplicate MPV2 work-item id
quarantine	ooo/orch_edff8596cfa2	6f9a645e5da8c05b317dd93fbe149f5ae902ded7	2026-07-02 17:01:07 -0400	scan finding: credential-prefix-marker,raw-agent-runtime-state-path	wip(sweep): read-contract/archiving sweep mid-flight state from run orch_edff8596cfa2 (Tasks 1,3,4 complete; Anthropic stream stall killed Tasks 2,5)
quarantine	ooo/run/masterplan-v2-fabric-loop-20260702	6f9a645e5da8c05b317dd93fbe149f5ae902ded7	2026-07-02 17:01:07 -0400	scan finding: credential-prefix-marker,raw-agent-runtime-state-path	wip(sweep): read-contract/archiving sweep mid-flight state from run orch_edff8596cfa2 (Tasks 1,3,4 complete; Anthropic stream stall killed Tasks 2,5)
quarantine	preserve/untracked-content-20260803T122922Z	f574ae91aeea9751d05e67d4fc9562f017120cf8	2026-08-03 08:29:27 -0400	scan finding: credential-prefix-marker,credential-sensitive-path,generated-talos-credential-topology	chore(recovery): preserve untracked work before disk wipe
archive	reorg/intelligence-sinkbatch	411efa1d821353a7095cd01e78d51cd7658e9cc5	2026-07-29 06:16:32 -0400	useful or uncertain; unique added blobs scan-clear	refactor(intelligence): home 10 sink crates into intelligence/core via the reorg codemod
archive	reorg/w2-scan-root-derivation	8b19f63e75c1a728d6bf08eb18cba99325284c27	2026-07-31 00:31:09 -0400	useful or uncertain; unique added blobs scan-clear	gate(reorg-w2): derive the scan-root set from the closed capability registry
archive	reorg/w3-registry-amendment	4efaa437fa3c90b8074bd5729f5dc77b518f072e	2026-07-31 00:48:42 -0400	useful or uncertain; unique added blobs scan-clear	governance(reorg-w3): amend the closed capability registry — admit infra/, repair the ten dead absorb prefixes, forward-declare policy/
discard	sec-w2-finops-authz	c30342afea0d2d831c5a32fb202db97521880a45	2026-06-23 06:52:27 -0400	generated accounting faces only	chore(faces): materialize cloud-ci generated faces for ADR-0591 finops authz
discard	sec/w2-audit-event-emit-authz	af4f70d0cc37658578b75759f7c7f61fd654286d	2026-06-23 06:15:21 -0400	generated accounting faces only	chore(faces): settle cloud-ci generated accounting faces for ADR-0588 audit.event.emit authz (ADR-0552)
discard	sec/w2-observability-audit-authz	e70835cb8674b65d14584478f3dc74330a58d549	2026-06-23 06:47:08 -0400	generated accounting faces only	chore(faces): settle cloud-ci accounting faces for ADR-0590 obs-audit authz file (FACES-ONLY)
discard	security/w2-network-authz-adr0587	bc04b9a83f0bb635e0a8d9b4f3bf39cf0f68a1fd	2026-06-23 06:23:52 -0400	generated accounting faces only	SECURITY(C9-C11) [faces-only]: settle cloud-ci accounting faces for ADR-0587 network authz
archive	test/scanroot-populated	11dbc437afc39c6d4b782267d0c573e72f32fab8	2026-07-29 05:25:46 -0400	useful or uncertain; unique added blobs scan-clear	fix(ci): pre-widen authz gate scan_roots to every reorg destination root
archive	w2-tenancy-authz-fix	8ce276432f209969b3920dcd81eb28403935dfe4	2026-06-23 07:31:54 -0400	useful or uncertain; unique added blobs scan-clear	SECURITY(AUTH-005) C7/C8 review fixes: authn-before-body, durable-test membership, ambiguous-credential boot guard [BLOCKED: pending review]
archive	work-ci-011-closeout-20260701	523e605d700568c073ed33e38453cc3f8d09c14e	2026-07-01 02:35:40 -0400	useful or uncertain; unique added blobs scan-clear	CI-011: land shell CLI retirement inventory
archive	work-hermes-t_318fd9e7-cell-002	0258def2100bb837f148f08b689903d604f9bf51	2026-07-09 12:32:24 -0400	useful or uncertain; unique added blobs scan-clear	feat(cell): add CELL-002 promotion automation contract
archive	work-hermes-t_646222a9-finops-001	8f857de6c4ddaebd197248942773d37f62f53746	2026-07-09 13:09:07 -0400	useful or uncertain; unique added blobs scan-clear	Specify FinOps cost attribution contract slice
discard	work-hermes-t_b889dfda-reorg-004-materialize-last	265cb8c40c18cb0623615dcd8e51e8710feb9ea8	2026-07-02 05:24:44 -0400	generated faces materialization only	chore(reorg): materialize generated faces after billing move
archive	worker-1/pr1533-restack-20260804	189a8d23023aa00d4e4fb7b2d8ba9c59b4fc8c47	2026-08-03 22:53:04 -0400	useful or uncertain; unique added blobs scan-clear	fix(supply-chain): prove lockfile corpus totality
archive	worker-1/task-12-lane-f-docs-fixtures	8c8056bee8946c2e4e69d645e7b1d35cae7d8fda	2026-06-29 07:13:17 -0400	useful or uncertain; unique added blobs scan-clear	Fix Lane F review evidence fixtures
archive	worker-2-c1-3r-absence-gate	26bd06a62270aeccb283a6b2f93065930ad90eb5	2026-06-26 23:00:59 -0400	useful or uncertain; unique added blobs scan-clear	task: add cloud absence nonclaim gate
