# Oyatie pre-wipe tracked-dirty snapshot manifest
# created_utc	2026-08-03T12:15:15.126440Z
# tracked changes are preserved as git-stash-create commit trees; worktrees were not modified
# untracked contents are NOT uploaded blindly; paths are inventoried below
# record_type	worktree	branch_or_untracked_path	head	snapshot_commit	tracked_entries	untracked_entries
dirty	/Users/jasonlee/Developer/oyatie	preserve/hermes-w1-dirty-20260630	c52bdb09ea337de103b05317de0c120f2b7a3e45	ff8346ed6ada10bb8657236263383b810220267b	1399	374
untracked-path	/Users/jasonlee/Developer/oyatie	--help/build-receipt-v0.2.json				
untracked-path	/Users/jasonlee/Developer/oyatie	--help/fixed-mutation-plan-v0.2.json				
untracked-path	/Users/jasonlee/Developer/oyatie	--help/generated-mutation-protocol-v0.2.json				
untracked-path	/Users/jasonlee/Developer/oyatie	--help/mutation-normalization-oracle-v0.2.json				
untracked-path	/Users/jasonlee/Developer/oyatie	--help/validator-self-mutants-v0.2.json				
untracked-path	/Users/jasonlee/Developer/oyatie	.agents/skills/rust-skills/SKILL.md				
untracked-path	/Users/jasonlee/Developer/oyatie	.claude/skills/rust-skills				
untracked-path	/Users/jasonlee/Developer/oyatie	.codex/config.toml				
untracked-path	/Users/jasonlee/Developer/oyatie	.github/CODE_OF_CONDUCT.md				
untracked-path	/Users/jasonlee/Developer/oyatie	.github/CONTRIBUTING.md				
untracked-path	/Users/jasonlee/Developer/oyatie	.github/ISSUE_TEMPLATE/blocker-resolution-card.yml				
untracked-path	/Users/jasonlee/Developer/oyatie	.github/ISSUE_TEMPLATE/bug-report.yml				
untracked-path	/Users/jasonlee/Developer/oyatie	.github/ISSUE_TEMPLATE/config.yml				
untracked-path	/Users/jasonlee/Developer/oyatie	.github/ISSUE_TEMPLATE/feature-request.yml				
untracked-path	/Users/jasonlee/Developer/oyatie	.github/OWNERS				
untracked-path	/Users/jasonlee/Developer/oyatie	.github/PULL_REQUEST_TEMPLATE.md				
untracked-path	/Users/jasonlee/Developer/oyatie	.worktrees/g023-pr1523-restack-20260802/				
untracked-path	/Users/jasonlee/Developer/oyatie	.worktrees/g028-runner-disk-request-20260802/				
untracked-path	/Users/jasonlee/Developer/oyatie	.worktrees/review-t_ceb89d13-pr1107/				
untracked-path	/Users/jasonlee/Developer/oyatie	.worktrees/t_03877337-calendar-e2e/				
untracked-path	/Users/jasonlee/Developer/oyatie	.worktrees/t_09997b9d/				
untracked-path	/Users/jasonlee/Developer/oyatie	.worktrees/t_0b5f2b75-crm-closeout/				
untracked-path	/Users/jasonlee/Developer/oyatie	.worktrees/t_1cb9bacc/				
untracked-path	/Users/jasonlee/Developer/oyatie	.worktrees/t_1e67b1be-regeneration/				
untracked-path	/Users/jasonlee/Developer/oyatie	.worktrees/t_60e047bd/				
untracked-path	/Users/jasonlee/Developer/oyatie	.worktrees/t_7b437a23-calendar-build/				
untracked-path	/Users/jasonlee/Developer/oyatie	.worktrees/t_7d05dc85-regsec-001/				
untracked-path	/Users/jasonlee/Developer/oyatie	.worktrees/t_b41da6b2-authz-007-runtime-fix/				
untracked-path	/Users/jasonlee/Developer/oyatie	.worktrees/t_f15d213a-airgap-contract/				
untracked-path	/Users/jasonlee/Developer/oyatie	.worktrees/t_fc9e8923-idp-002-fix/				
untracked-path	/Users/jasonlee/Developer/oyatie	.worktrees/workspace-drift-cloud-ci-port-20260701/				
untracked-path	/Users/jasonlee/Developer/oyatie	.worktrees/workspace-drift-cloud-trust-port-20260701/				
untracked-path	/Users/jasonlee/Developer/oyatie	.worktrees/workspace-drift-docs-procedure-port-20260701/				
untracked-path	/Users/jasonlee/Developer/oyatie	.worktrees/workspace-drift-oya-retired-port-20260701/				
untracked-path	/Users/jasonlee/Developer/oyatie	cloud/cloud-billing/crates/oya-cloud-billing-domain/tests/env_tier_outbound_metadata.rs				
untracked-path	/Users/jasonlee/Developer/oyatie	cloud/cloud-capacity/manifest.json				
untracked-path	/Users/jasonlee/Developer/oyatie	cloud/cloud-ci/gates/oya-cloud-ci-license-policy-app/BUCK				
untracked-path	/Users/jasonlee/Developer/oyatie	cloud/cloud-ci/gates/oya-cloud-ci-license-policy-app/Cargo.toml				
untracked-path	/Users/jasonlee/Developer/oyatie	cloud/cloud-ci/gates/oya-cloud-ci-license-policy-app/OWNERS				
untracked-path	/Users/jasonlee/Developer/oyatie	cloud/cloud-ci/gates/oya-cloud-ci-license-policy-app/src/lib.rs				
untracked-path	/Users/jasonlee/Developer/oyatie	cloud/cloud-ci/gates/oya-cloud-ci-license-policy-app/tests/license_policy.rs				
untracked-path	/Users/jasonlee/Developer/oyatie	cloud/cloud-ci/gates/oya-cloud-ci-load-balancer-inventory-app/BUCK				
untracked-path	/Users/jasonlee/Developer/oyatie	cloud/cloud-ci/gates/oya-cloud-ci-load-balancer-inventory-app/Cargo.toml				
untracked-path	/Users/jasonlee/Developer/oyatie	cloud/cloud-ci/gates/oya-cloud-ci-load-balancer-inventory-app/src/lib.rs				
untracked-path	/Users/jasonlee/Developer/oyatie	cloud/cloud-ci/gates/oya-cloud-ci-load-balancer-inventory-app/tests/load_balancer_inventory.rs				
untracked-path	/Users/jasonlee/Developer/oyatie	cloud/cloud-ci/gates/oya-cloud-ci-multi-region-disposition-app/BUCK				
untracked-path	/Users/jasonlee/Developer/oyatie	cloud/cloud-ci/gates/oya-cloud-ci-multi-region-disposition-app/Cargo.toml				
untracked-path	/Users/jasonlee/Developer/oyatie	cloud/cloud-ci/gates/oya-cloud-ci-multi-region-disposition-app/src/lib.rs				
untracked-path	/Users/jasonlee/Developer/oyatie	cloud/cloud-ci/gates/oya-cloud-ci-multi-region-disposition-app/tests/multi_region_disposition.rs				
untracked-path	/Users/jasonlee/Developer/oyatie	cloud/cloud-ci/gates/oya-cloud-ci-sovereign-tenant-pin-app/BUCK				
untracked-path	/Users/jasonlee/Developer/oyatie	cloud/cloud-ci/gates/oya-cloud-ci-sovereign-tenant-pin-app/Cargo.toml				
untracked-path	/Users/jasonlee/Developer/oyatie	cloud/cloud-ci/gates/oya-cloud-ci-sovereign-tenant-pin-app/OWNERS				
untracked-path	/Users/jasonlee/Developer/oyatie	cloud/cloud-ci/gates/oya-cloud-ci-sovereign-tenant-pin-app/src/lib.rs				
untracked-path	/Users/jasonlee/Developer/oyatie	cloud/cloud-ci/gates/oya-cloud-ci-sovereign-tenant-pin-app/tests/sovereign_tenant_pin.rs				
untracked-path	/Users/jasonlee/Developer/oyatie	cloud/cloud-ci/gates/oya-cloud-ci-tenant-environment-tier-app/BUCK				
untracked-path	/Users/jasonlee/Developer/oyatie	cloud/cloud-ci/gates/oya-cloud-ci-tenant-environment-tier-app/Cargo.toml				
untracked-path	/Users/jasonlee/Developer/oyatie	cloud/cloud-ci/gates/oya-cloud-ci-tenant-environment-tier-app/src/lib.rs				
untracked-path	/Users/jasonlee/Developer/oyatie	cloud/cloud-ci/gates/oya-cloud-ci-tenant-environment-tier-app/tests/tenant_environment_tier.rs				
