path	doc_type	category	axis	status	title
ADR-0001-cohesion-thesis-one-product-flat-catalog.md	adr	explanation	decision/ADR	Accepted	Adopt the cohesion thesis — one product across a
ADR-0002-tenant-and-identity-kernel.md	adr	explanation	decision/ADR	Proposed	Establish the Tenant and Identity kernel as the single
ADR-0003-audit-chain-and-evidence-emission.md	adr	explanation	decision/ADR	Proposed	Audit chain and evidence emission as the single tamper-evident
ADR-0004-plane-separation-control-data-analytics.md	adr	explanation	decision/ADR	Proposed	Plane separation across control / data / analytics with
ADR-0005-eventing-backbone-outbox-pattern.md	adr	explanation	decision/ADR	Proposed	Eventing backbone on Apache Kafka with outbox pattern, CloudEvents
ADR-0006-ontology-typed-entity-layer.md	adr	explanation	decision/ADR	Accepted	Ontology as the engine-enforced typed-entity layer with per-property tier
ADR-0007-cedar-authorization-policy-and-persona-tier.md	adr	explanation	decision/ADR	Proposed	Cedar policy engine for RBAC/ABAC + persona-tier autonomy ceiling
ADR-0008-data-use-boundary.md	adr	explanation	decision/ADR	Accepted	Data Use Boundary — twelve data classes with HARD_DENY
ADR-0009-cell-architecture-per-tenant-per-region.md	adr	explanation	decision/ADR	Proposed	Cell architecture — per-tenant per-region blast-radius cells with cell-routing
ADR-0010-regional-pack-architecture.md	adr	explanation	decision/ADR	Proposed	Regional pack architecture — canonical seams + per-locale plug-ins
ADR-0011-cross-microservice-contract-registry.md	adr	explanation	decision/ADR	Accepted	Cross-microservice contract registry — contracts/microservice-contracts.yaml source-of-truth, openapi/proto/asyncapi sub-directories, oya-check-contracts
ADR-0013-product-license-policy.md	adr	explanation	decision/ADR	Proposed	Product license policy — allowed (Apache-2 / MIT /
ADR-0014-build-vs-buy-policy.md	adr	explanation	decision/ADR	Proposed	Build-vs-buy policy — per-microservice matrix (in-house obligatory / external
ADR-0015-architectural-flattening-target.md	adr	explanation	decision/ADR	Accepted	Architectural flattening target — flat-crates crates/oya-<context>-<role>[-<capability>]/, role taxonomy (kernel
ADR-0016-wave-and-plane-integration-framework.md	adr	explanation	decision/ADR	Proposed	Wave and plane integration framework — descriptive wave names
ADR-0017-brand-naming-and-repo-layout.md	adr	explanation	decision/ADR	Accepted	Brand naming and repo layout — Oyatie / oYa
ADR-0018-glossary-and-terminology-canon.md	adr	explanation	decision/ADR	Accepted	Glossary and terminology canon — industry-aligned vocabulary, Oyatie-specific terms
ADR-0019-doc-catalog-and-update-protocol.md	adr	explanation	decision/ADR	Proposed	Doc catalog and update protocol — every consolidated doc
ADR-0020-foundry-multi-provider-adapter-model.md	adr	explanation	decision/ADR	Proposed	Foundry multi-provider adapter model — ProviderAdapter trait, ProviderAuth, capability-level
ADR-0021-foundry-capability-registry-and-mcp-gateway.md	adr	explanation	decision/ADR	Proposed	Foundry capability registry and MCP gateway — Capability schema,
ADR-0022-autonomy-ceiling-runtime-enforcement.md	adr	explanation	decision/ADR	Proposed	Autonomy ceiling — runtime enforcement via Cedar policy at
ADR-0023-foundry-sandbox-wasmtime-firecracker.md	adr	explanation	decision/ADR	Proposed	Foundry sandbox — Wasmtime + WASI Preview 2 for
ADR-0024-foundry-eval-harness-and-replay.md	adr	explanation	decision/ADR	Proposed	Foundry eval harness and replay — per-capability golden sets,
ADR-0025-foundry-as-engineering-platform.md	adr	explanation	decision/ADR	Proposed	Foundry as the engineering platform — repoctl, catalog, gates,
ADR-0026-in-house-ai-model-substrate-roadmap.md	adr	explanation	decision/ADR	Proposed	In-house AI model substrate — long-horizon W-AI-Model-Substrate; consume providers
ADR-0027-robotics-vision-speech-sub-substrates.md	adr	explanation	decision/ADR	Proposed	Robotics, vision, and speech sub-substrates — vision/speech model crates,
ADR-0028-cloud-microservice-architecture.md	adr	explanation	decision/ADR	Accepted	Cloud microservice — compute substrate with stable product surface
ADR-0029-connect-dual-context-architecture.md	adr	explanation	decision/ADR	Accepted	microservice — dual-context communications (Professional + Personal) as cohesion-bound
