path	doc_type	category	axis	status	title
/Users/jasonlee/Developer/source/docs/research/hyperscaler-best-practices-2026-05-12.md	research	explanation	research	current	Hyperscaler best-practices research
/Users/jasonlee/Developer/source/docs/research/kafka-reeval-2026-05-28.md	research	explanation	research	likely-stale	Kafka re-evaluation (Pulsar superseded)
/Users/jasonlee/Developer/source/docs/research/lts-versions-verified-2026-05-12.md	research	reference	research	likely-stale	LTS versions verified snapshot
/Users/jasonlee/Developer/source/docs/research/mold-linker-impl-2026-05-28.md	research	how-to	research	current	mold linker implementation notes
/Users/jasonlee/Developer/source/docs/quality/ai-slop-defense/INDEX.md	index	reference	governance/compliance	current	AI-slop defense index
/Users/jasonlee/Developer/source/docs/quality/ai-slop-defense/additional-tooling-recommendations.md	reference	reference	governance/compliance	current	Additional tooling recommendations
/Users/jasonlee/Developer/source/docs/quality/ai-slop-defense/ai-slop-failure-mode-catalogue.md	reference	reference	governance/compliance	current	AI-slop failure-mode catalogue
/Users/jasonlee/Developer/source/docs/quality/ai-slop-defense/defense-in-depth-architecture.md	architecture	explanation	architecture	current	Defense-in-depth 9-layer architecture
/Users/jasonlee/Developer/source/docs/quality/ai-slop-defense/gap-analysis-ai-vs-production.md	reference	explanation	governance/compliance	current	Gap analysis AI vs production
/Users/jasonlee/Developer/source/docs/quality/ai-slop-defense/impossible-to-fail-environment-spec.md	spec	explanation	spec/contract	current	Impossible-to-fail environment master spec
/Users/jasonlee/Developer/source/docs/quality/ai-slop-defense/production-quality-bar.md	spec	reference	spec/contract	current	Production quality bar dimensions
/Users/jasonlee/Developer/source/docs/agents/INDEX.md	index	reference	index/meta	current	Agent kickoff index
/Users/jasonlee/Developer/source/docs/agents/AGENT-ENTRY-POINT.md	runbook	how-to	operations/runbook	current	Agent cold-start entry point
/Users/jasonlee/Developer/source/docs/agents/AGENT-CHEAT-SHEET.md	reference	reference	operations/runbook	current	Agent commands cheat sheet
/Users/jasonlee/Developer/source/docs/agents/AGENT-COMPLETION-PROTOCOL.md	runbook	how-to	operations/runbook	current	Agent completion protocol
/Users/jasonlee/Developer/source/docs/agents/AGENT-DECISION-TREE.md	runbook	how-to	operations/runbook	current	Agent decision-tree flowchart
/Users/jasonlee/Developer/source/docs/agents/AGENT-FAILURE-RECOVERY.md	runbook	how-to	operations/runbook	current	Agent failure-recovery protocol
/Users/jasonlee/Developer/source/docs/agents/AGENT-ICM-TOPIC-CONVENTIONS.md	reference	reference	operations/runbook	misplaced	Agent ICM topic conventions
/Users/jasonlee/Developer/source/docs/agents/AGENT-TOOL-PROTOCOL.md	runbook	reference	operations/runbook	current	Agent tool calling protocol
/Users/jasonlee/Developer/source/docs/agents/CROSS-REFERENCE-INDEX.md	index	reference	index/meta	duplicate	Master cross-reference doc index
/Users/jasonlee/Developer/source/docs/agents/ESCALATION-MATRIX.md	runbook	reference	operations/runbook	current	Agent escalation halt matrix
/Users/jasonlee/Developer/source/docs/agents/HUMAN-OPERATOR-GUIDE.md	runbook	how-to	operations/runbook	current	Human operator escalation guide
