path	doc_type	category	axis	status	title
AGENTS.md	guide	explanation	governance/compliance	current	Oyatie agent guidance
CLAUDE.md	guide	explanation	governance/compliance	current	Oyatie Claude guidance
README.md	readme	explanation	index/meta	current	Oyatie
cloud/cell-lifecycle/ARCH.md	architecture	explanation	architecture	likely-stale	Architecture: cell-lifecycle microservice
cloud/cell-lifecycle/IPs/IP-ADR-0339-Shared-IaC-Modules.md	spec	reference	spec/contract	empty	Not applicable to cell-lifecycle: not active in the canonical 2026-05-21 active microservice registry; ADR-0339 propagat
cloud/cell-lifecycle/IPs/IP-ADR-0341-Cellular-Promotion-Gates.md	spec	reference	spec/contract	likely-stale	IP-ADR-0341: cell-lifecycle adoption of Cellular Promotion Gates
cloud/cell-lifecycle/IPs/IP-CL-001-bounded-context-and-state-machine.md	spec	reference	spec/contract	likely-stale	IP-CL-001: Bounded Context and State Machine
cloud/cell-lifecycle/IPs/IP-CL-002-promotion-gate-evidence-pack.md	spec	reference	spec/contract	likely-stale	IP-CL-002: Promotion Gate Evidence Pack
cloud/cell-lifecycle/IPs/IP-CL-003-drain-decommission-coordination-with-rebalancer.md	spec	reference	spec/contract	likely-stale	IP-CL-003: Drain and Decommission Coordination with Rebalancer
cloud/cell-lifecycle/IPs/IP-CL-004-api-surface-rest-grpc-http3.md	spec	reference	spec/contract	likely-stale	IP-CL-004: API Surface REST gRPC HTTP3
cloud/cell-lifecycle/IPs/IP-CL-005-cedar-authorization-promotion-permit.md	spec	reference	spec/contract	likely-stale	IP-CL-005: Cedar Authorization Promotion Permit
cloud/cell-lifecycle/IPs/IP-CL-006-audit-chain-transition-evidence.md	spec	reference	spec/contract	likely-stale	IP-CL-006: Audit Chain Transition Evidence
cloud/cell-lifecycle/IPs/IP-CL-007-slo-metrics-observability.md	spec	reference	spec/contract	likely-stale	IP-CL-007: SLO Metrics Observability
cloud/cell-lifecycle/IPs/IP-CL-008-foundry-self-modification-boundary.md	spec	reference	spec/contract	likely-stale	IP-CL-008: Foundry Self Modification Boundary
cloud/cell-lifecycle/PRD.md	product-prd	explanation	product	likely-stale	PRD: cell-lifecycle microservice
cloud/cell-lifecycle/README.md	readme	explanation	index/meta	likely-stale	cell-lifecycle
cloud/cell-lifecycle/capabilities/capability-catalog.md	reference	reference	cloud-substrate	likely-stale	Capability Catalog: cell-lifecycle
cloud/cell-lifecycle/design-spec-maturity/failure-modes-cost-finops-tenant-isolation-operational-boundaries.md	reference	reference	cloud-substrate	likely-stale	Cell Lifecycle design/spec maturity boundary pack
cloud/cell-lifecycle/dpia/dpia.md	governance	explanation	governance/compliance	likely-stale	DPIA: cell-lifecycle
cloud/cell-lifecycle/migration-playbooks/wave-15-zd-adr-0346-0349-migration-playbook.md	runbook	how-to	operations/runbook	likely-stale	Migration Playbook - Wave 15-ZD ADR-0346..0349 doctrine for `cell-lifecycle`
cloud/cell-lifecycle/runbooks/auto-rebalance.md	runbook	how-to	operations/runbook	likely-stale	Runbook: Cell Lifecycle Auto Rebalance
cloud/cell-lifecycle/runbooks/cold-merge.md	runbook	how-to	operations/runbook	likely-stale	Runbook: Cell Lifecycle Cold Merge
cloud/cell-lifecycle/runbooks/decommission-cell.md	runbook	how-to	operations/runbook	likely-stale	Runbook: Decommission Cell
cloud/cell-lifecycle/runbooks/emergency-drain.md	runbook	how-to	operations/runbook	likely-stale	Runbook: Emergency Drain
cloud/cell-lifecycle/runbooks/hot-split.md	runbook	how-to	operations/runbook	likely-stale	Runbook: Cell Lifecycle Hot Split
cloud/cell-lifecycle/runbooks/on-call.md	runbook	how-to	operations/runbook	likely-stale	Runbook: On Call
cloud/cell-lifecycle/runbooks/promote-cell-to-next-tier.md	runbook	how-to	operations/runbook	likely-stale	Runbook: Promote Cell to Next Tier
cloud/cell-lifecycle/runbooks/rollback-promotion.md	runbook	how-to	operations/runbook	likely-stale	Runbook: Rollback Promotion
cloud/cell-lifecycle/threat-models/threat-model.md	reference	reference	governance/compliance	likely-stale	STRIDE Threat Model: cell-lifecycle
cloud/cell-rebalancer/ARCH.md	architecture	explanation	architecture	likely-stale	Architecture: cell-rebalancer
cloud/cell-rebalancer/IPs/IP-ADR-0339-Shared-IaC-Modules.md	spec	reference	spec/contract	empty	Not applicable to cell-rebalancer: not active in the canonical 2026-05-21 active microservice registry; ADR-0339 propaga
cloud/cell-rebalancer/IPs/IP-CR-001-bounded-context-and-state-machine.md	spec	reference	spec/contract	likely-stale	IP-CR-001-bounded-context-and-state-machine: Bounded Context And State Machine
cloud/cell-rebalancer/IPs/IP-CR-002-api-surface-rest-grpc-http3.md	spec	reference	spec/contract	likely-stale	IP-CR-002-api-surface-rest-grpc-http3: API Surface REST gRPC HTTP3
cloud/cell-rebalancer/IPs/IP-CR-003-tenant-migration-workflow-state-machine.md	spec	reference	spec/contract	likely-stale	IP-CR-003-tenant-migration-workflow-state-machine: Tenant Migration Workflow State Machine
cloud/cell-rebalancer/IPs/IP-CR-004-residency-and-compliance-pack-validation.md	spec	reference	governance/compliance	likely-stale	IP-CR-004-residency-and-compliance-pack-validation: Residency And Compliance Pack Validation
cloud/cell-rebalancer/IPs/IP-CR-005-cedar-authorization.md	spec	reference	spec/contract	likely-stale	IP-CR-005-cedar-authorization: Cedar Authorization
cloud/cell-rebalancer/IPs/IP-CR-006-audit-chain-evidence-emission.md	spec	reference	spec/contract	likely-stale	IP-CR-006-audit-chain-evidence-emission: Audit Chain Evidence Emission
cloud/cell-rebalancer/IPs/IP-CR-007-slo-metrics-observability.md	spec	reference	spec/contract	likely-stale	IP-CR-007-slo-metrics-observability: SLO Metrics Observability
cloud/cell-rebalancer/IPs/IP-CR-008-foundry-self-modification-boundary.md	spec	reference	spec/contract	likely-stale	IP-CR-008-foundry-self-modification-boundary: Foundry Self Modification Boundary
cloud/cell-rebalancer/PRD.md	product-prd	explanation	product	likely-stale	PRD: cell-rebalancer
cloud/cell-rebalancer/README.md	readme	explanation	index/meta	likely-stale	cell-rebalancer
cloud/cell-rebalancer/capabilities/capability-catalog.md	reference	reference	cloud-substrate	likely-stale	Capability Catalog: cell-rebalancer
cloud/cell-rebalancer/design-spec-maturity/failure-modes-cost-finops-operational-boundaries.md	reference	reference	cloud-substrate	likely-stale	Cell Rebalancer design/spec maturity boundary pack
cloud/cell-rebalancer/dpia/dpia.md	governance	explanation	governance/compliance	likely-stale	Data Protection Impact Assessment: cell-rebalancer
cloud/cell-rebalancer/migration-playbooks/wave-15-zd-adr-0346-0349-migration-playbook.md	runbook	how-to	operations/runbook	likely-stale	Migration Playbook - Wave 15-ZD ADR-0346..0349 doctrine for `cell-rebalancer`
cloud/cell-rebalancer/runbooks/auto-rebalance-trigger.md	runbook	how-to	operations/runbook	likely-stale	Runbook: Auto Rebalance Trigger
cloud/cell-rebalancer/runbooks/auto-rebalance.md	runbook	how-to	operations/runbook	likely-stale	Runbook: Cell Rebalancer Auto Rebalance
cloud/cell-rebalancer/runbooks/cold-merge.md	runbook	how-to	operations/runbook	likely-stale	Runbook: Cell Rebalancer Cold Merge
cloud/cell-rebalancer/runbooks/compliance-pack-rotation-migration.md	runbook	how-to	operations/runbook	likely-stale	Runbook: Compliance Pack Rotation Migration
cloud/cell-rebalancer/runbooks/emergency-drain.md	runbook	how-to	operations/runbook	likely-stale	Runbook: Emergency Drain
cloud/cell-rebalancer/runbooks/hot-split.md	runbook	how-to	operations/runbook	likely-stale	Runbook: Cell Rebalancer Hot Split
cloud/cell-rebalancer/runbooks/on-call.md	runbook	how-to	operations/runbook	likely-stale	Runbook: On-call Operations
cloud/cell-rebalancer/runbooks/rollback-tenant-migration.md	runbook	how-to	operations/runbook	likely-stale	Runbook: Rollback Tenant Migration
cloud/cell-rebalancer/threat-models/threat-model.md	reference	reference	governance/compliance	likely-stale	STRIDE Threat Model: cell-rebalancer
cloud/cloud-billing-tax/ARCH.md	architecture	explanation	architecture	current	Architecture: Cloud Billing Tax
cloud/cloud-billing-tax/IPs/IP-ADR-0339-Shared-IaC-Modules.md	spec	reference	spec/contract	current	IP-ADR-0339-Shared-IaC-Modules: Cloud Billing Tax Shared OpenTofu Module Adoption
cloud/cloud-billing-tax/IPs/IP-WAVE-15-ZD-sharding-automation.md	spec	reference	spec/contract	current	IP-WAVE-15-ZD-sharding-automation: Cloud Billing Tax Sharding Automation Stance
cloud/cloud-billing-tax/PRD.md	product-prd	explanation	product	likely-stale	PRD-cloud-billing-tax: Doctrine Propagation Surface
cloud/cloud-billing-tax/README.md	readme	explanation	index/meta	current	cloud-billing-tax
cloud/cloud-billing-tax/REMEDIATION-NOTES-2026-05-21-tier-scrub.md	research	explanation	research	likely-stale	cloud-billing-tax tier scrub remediation notes — 2026-05-21
cloud/cloud-billing-tax/REMEDIATION-NOTES-2026-05-21.md	research	explanation	research	likely-stale	Wave 15-Valkey migration (2026-05-21)
