path	doc_type	category	axis	status	title
/Users/jasonlee/Developer/source/specs/products/RETIREMENT.md	governance	reference	spec/contract	current	specs/products retired — flattened to microservices
/Users/jasonlee/Developer/source/specs/policy/cedar-scope-schema.md	spec	reference	spec/contract	current	Cedar policy scope schema spec
/Users/jasonlee/Developer/source/registry/foundation-bypasses/README.md	reference	reference	governance/compliance	current	Foundation gate exception ledger README
/Users/jasonlee/Developer/source/registry/sample-tenants/crescent-health-academic-medical-center.md	reference	reference	spec/contract	orphan	Crescent Health AMC sample tenant fixture
/Users/jasonlee/Developer/source/registry/sample-tenants/nordic-bank-tier-1-finance.md	reference	reference	spec/contract	orphan	Nordic Bank sample tenant fixture
/Users/jasonlee/Developer/source/registry/sample-tenants/helios-fortune-500-manufacturer.md	reference	reference	spec/contract	orphan	Helios manufacturer sample tenant fixture
/Users/jasonlee/Developer/source/registry/sample-tenants/acme-mid-market-saas.md	reference	reference	spec/contract	orphan	Acme mid-market SaaS tenant fixture
/Users/jasonlee/Developer/source/registry/sample-tenants/green-cooperative-fishery-typhoon-zone.md	reference	reference	spec/contract	orphan	Pacific Green Cooperative tenant fixture
/Users/jasonlee/Developer/source/registry/sample-tenants/seoul-edu-tech-pyo.md	reference	reference	spec/contract	orphan	Pyo Learning Corp tenant fixture
/Users/jasonlee/Developer/source/registry/accounts/README.md	readme	reference	governance/compliance	misplaced	Foundry supervisor account schema README
/Users/jasonlee/Developer/source/registry/vcs/README.md	readme	explanation	architecture	likely-stale	Frozen agentic-VCS pipeline registry README
/Users/jasonlee/Developer/source/registry/release/supply-chain/README.md	readme	reference	operations/runbook	current	Release supply-chain evidence README
/Users/jasonlee/Developer/source/registry/stub-audit/2026-05-17/CONSOLIDATED.md	governance	explanation	governance/compliance	likely-stale	Consolidated OP-11 stub audit 2026-05-17
/Users/jasonlee/Developer/source/packs/us-localization/federal-privacy-laws.md	reference	reference	governance/compliance	current	US federal privacy laws pack
/Users/jasonlee/Developer/source/packs/us-localization/discrimination-laws-and-ai-bias.md	reference	reference	governance/compliance	current	US discrimination laws and AI bias
/Users/jasonlee/Developer/source/packs/us-localization/README.md	readme	reference	governance/compliance	current	US localization pack overview
/Users/jasonlee/Developer/source/packs/us-localization/state-privacy-laws-comparison.md	reference	reference	governance/compliance	current	US state privacy laws comparison
/Users/jasonlee/Developer/source/packs/us-localization/sox-and-financial-reporting.md	reference	reference	governance/compliance	current	US SOX and financial reporting
/Users/jasonlee/Developer/source/packs/us-localization/hipaa-phi-handling.md	reference	reference	governance/compliance	current	US HIPAA PHI handling pack
/Users/jasonlee/Developer/source/packs/mx-localization/consent-and-data-subject-rights.md	reference	reference	governance/compliance	current	Mexico consent and data subject rights
/Users/jasonlee/Developer/source/packs/mx-localization/data-residency-and-cross-border.md	reference	reference	governance/compliance	current	Mexico data residency cross-border transfers
/Users/jasonlee/Developer/source/packs/mx-localization/README.md	readme	reference	governance/compliance	current	Mexico localization pack overview
/Users/jasonlee/Developer/source/packs/mx-localization/regulatory-coverage.md	reference	reference	governance/compliance	current	Mexico regulatory coverage
/Users/jasonlee/Developer/source/packs/mx-localization/sectoral-overlays.md	reference	reference	governance/compliance	current	Mexico sectoral overlays
/Users/jasonlee/Developer/source/packs/mx-localization/breach-notification-and-incident-response.md	reference	reference	governance/compliance	current	Mexico breach notification incident response
/Users/jasonlee/Developer/source/packs/br-localization/consent-and-data-subject-rights.md	reference	reference	governance/compliance	current	Brazil consent and data subject rights
/Users/jasonlee/Developer/source/packs/br-localization/data-residency-and-cross-border.md	reference	reference	governance/compliance	current	Brazil data residency and cross-border
/Users/jasonlee/Developer/source/packs/br-localization/README.md	readme	reference	governance/compliance	current	Brazil localization pack overview
