microservice	openapi_path	public_routes	internal_routes	classification_complete	owner_team
foundry	microservices/foundry/contracts/openapi.yaml	pending	pending	false	axis-foundry
observability	microservices/observability/contracts/openapi.yaml	pending	pending	false	ops-sre-reliability
tenancy	microservices/tenancy/contracts/openapi.yaml	pending	pending	false	axis-workspace
audit-chain	microservices/audit-chain/contracts/openapi.yaml	pending	pending	false	council-architecture
workflow-engine	microservices/workflow-engine/contracts/openapi.yaml	pending	pending	false	axis-workspace
workflow-studio	microservices/workflow-studio/contracts/openapi.yaml	pending	pending	false	axis-workspace
ontology	microservices/ontology/contracts/openapi.yaml	pending	pending	false	council-architecture
cloud-iac	microservices/cloud-iac/contracts/openapi.yaml	pending	pending	false	axis-cloud
calendar	microservices/calendar/contracts/openapi.yaml	pending	pending	false	axis-workspace
drive	microservices/drive/contracts/openapi.yaml	pending	pending	false	axis-workspace
mail	microservices/mail/contracts/openapi.yaml	pending	pending	false	axis-workspace
meet	microservices/meet/contracts/openapi.yaml	pending	pending	false	axis-workspace
messenger	microservices/messenger/contracts/openapi.yaml	pending	pending	false	axis-saas
notes	microservices/notes/contracts/openapi.yaml	pending	pending	false	axis-workspace
sheets	microservices/sheets/contracts/openapi.yaml	pending	pending	false	axis-workspace
slides	microservices/slides/contracts/openapi.yaml	pending	pending	false	axis-workspace
sites	microservices/sites/contracts/openapi.yaml	pending	pending	false	axis-workspace
forms	microservices/forms/contracts/openapi.yaml	pending	pending	false	axis-workspace
tasks	microservices/tasks/contracts/openapi.yaml	pending	pending	false	axis-workspace
translate	microservices/translate/contracts/openapi.yaml	pending	pending	false	axis-workspace
connect	microservices/connect/contracts/openapi.yaml	pending	pending	false	axis-saas
shorts	microservices/shorts/contracts/openapi.yaml	pending	pending	false	axis-saas
social	microservices/social/contracts/openapi.yaml	pending	pending	false	axis-saas
community	microservices/community/contracts/openapi.yaml	pending	pending	false	axis-saas
recordings	microservices/recordings/contracts/openapi.yaml	pending	pending	false	axis-workspace
application	microservices/application/contracts/openapi.yaml	pending	pending	false	axis-workspace
governance	microservices/governance/contracts/openapi.yaml	pending	pending	false	council-architecture
network	microservices/network/contracts/openapi.yaml	pending	pending	false	axis-cloud
cloud-k8s	microservices/cloud-k8s/contracts/openapi.yaml	pending	pending	false	axis-cloud
cloud-secrets	microservices/cloud-secrets/contracts/openapi.yaml	pending	pending	false	ops-security
cell	microservices/cell/contracts/openapi.yaml	pending	pending	false	ops-dr-capacity
anonymous	microservices/anonymous/contracts/openapi.yaml	pending	pending	false	council-privacy
