old_id	new_id	status
ADR-0001	ADR-0001	kept:docs/decisions/ADR-0001-cohesion-thesis-one-product-flat-catalog.md
ADR-0002	ADR-0002	kept:docs/decisions/ADR-0002-tenant-and-identity-kernel.md
ADR-0003	ADR-0003	kept:docs/decisions/ADR-0003-audit-chain-and-evidence-emission.md
ADR-0004	ADR-0004	kept:docs/decisions/ADR-0004-plane-separation-control-data-analytics.md
ADR-0005	ADR-0005	kept:docs/decisions/ADR-0005-eventing-backbone-outbox-pattern.md
ADR-0006	ADR-0006	kept:docs/decisions/ADR-0006-ontology-typed-entity-layer.md
ADR-0007	ADR-0007	kept:docs/decisions/ADR-0007-cedar-authorization-policy-and-persona-tier.md
ADR-0008	ADR-0008	kept:docs/decisions/ADR-0008-data-use-boundary.md
ADR-0009	ADR-0009	kept:docs/decisions/ADR-0009-cell-architecture-per-tenant-per-region.md
ADR-0010	ADR-0010	kept:docs/decisions/ADR-0010-regional-pack-architecture.md
ADR-0011	ADR-0011	kept:docs/decisions/ADR-0011-cross-microservice-contract-registry.md
ADR-0013	ADR-0012	kept:docs/decisions/ADR-0013-product-license-policy.md
ADR-0014	ADR-0013	kept:docs/decisions/ADR-0014-build-vs-buy-policy.md
ADR-0015	ADR-0014	kept:docs/decisions/ADR-0015-architectural-flattening-target.md
ADR-0016	ADR-0015	kept:docs/decisions/ADR-0016-wave-and-plane-integration-framework.md
ADR-0017	ADR-0016	kept:docs/decisions/ADR-0017-brand-naming-and-repo-layout.md
ADR-0018	ADR-0017	kept:docs/decisions/ADR-0018-glossary-and-terminology-canon.md
ADR-0019	ADR-0018	kept:docs/decisions/ADR-0019-doc-catalog-and-update-protocol.md
ADR-0020	ADR-0019	kept:docs/decisions/ADR-0020-foundry-multi-provider-adapter-model.md
ADR-0021	ADR-0020	kept:docs/decisions/ADR-0021-foundry-capability-registry-and-mcp-gateway.md
ADR-0022	ADR-0021	kept:docs/decisions/ADR-0022-autonomy-ceiling-runtime-enforcement.md
ADR-0023	ADR-0022	kept:docs/decisions/ADR-0023-foundry-sandbox-wasmtime-firecracker.md
ADR-0024	ADR-0023	kept:docs/decisions/ADR-0024-foundry-eval-harness-and-replay.md
ADR-0025	ADR-0024	kept:docs/decisions/ADR-0025-foundry-as-engineering-platform.md
ADR-0026	ADR-0025	kept:docs/decisions/ADR-0026-in-house-ai-model-substrate-roadmap.md
ADR-0027	ADR-0026	kept:docs/decisions/ADR-0027-robotics-vision-speech-sub-substrates.md
ADR-0028	ADR-0027	kept:docs/decisions/ADR-0028-cloud-microservice-architecture.md
ADR-0029	ADR-0028	kept:docs/decisions/ADR-0029-connect-dual-context-architecture.md
ADR-0030	ADR-0029	kept:docs/decisions/ADR-0030-search-microservice-architecture.md
ADR-0031	ADR-0030	kept:docs/decisions/ADR-0031-ads-and-analytics-microservice-architecture.md
ADR-0032	ADR-0031	kept:docs/decisions/ADR-0032-dcim-software-for-own-dc-ops.md
ADR-0034	ADR-0032	kept:docs/decisions/ADR-0034-per-microservice-data-class-overrides.md
ADR-0035	ADR-0033	kept:docs/decisions/ADR-0035-workflow-engine-state-machine-and-dag-hybrid.md
ADR-0036	ADR-0034	kept:docs/decisions/ADR-0036-plugin-substrate-wasm-and-trust.md
ADR-0037	ADR-0035	kept:docs/decisions/ADR-0037-public-api-stability-tiers-and-deprecation.md
ADR-0038	ADR-0036	kept:docs/decisions/ADR-0038-trust-framework-and-dsr-cascade-and-proof-of-erasure.md
ADR-0039	ADR-0037	kept:docs/decisions/ADR-0039-supply-chain-security-trivy-cosign-sbom-signed-commits.md
ADR-0040	ADR-0038	kept:docs/decisions/ADR-0040-progressive-delivery-canary-blue-green-metric-gated-rollback.md
ADR-0041	ADR-0039	kept:docs/decisions/ADR-0041-gitops-trunk-based-and-release-branch-cut-at-tag.md
ADR-0042	ADR-0040	kept:docs/decisions/ADR-0042-observability-stack-otel-and-in-house-ui.md
ADR-0043	ADR-0041	kept:docs/decisions/ADR-0043-secrets-management-openbao-and-hsm-per-cell.md
ADR-0044	ADR-0042	kept:docs/decisions/ADR-0044-service-mesh-istio-ambient-and-envoy-gateway.md
ADR-0045	ADR-0043	kept:docs/decisions/ADR-0045-database-tier-strategy.md
ADR-0046	ADR-0044	kept:docs/decisions/ADR-0046-vector-store-strategy.md
ADR-0047	ADR-0045	kept:docs/decisions/ADR-0047-search-backend-strategy.md
ADR-0048	ADR-0046	kept:docs/decisions/ADR-0048-korean-morphology-and-multilingual-tokenization.md
ADR-0049	ADR-0047	kept:docs/decisions/ADR-0049-cross-region-replication-and-residency.md
ADR-0050	ADR-0048	kept:docs/decisions/ADR-0050-automation-first-pipeline.md
ADR-0051	ADR-0049	kept:docs/decisions/ADR-0051-mobile-and-native-client-strategy.md
ADR-0052	DELETED	frontmatter status=Superseded
ADR-0053	DELETED	Wave 15-ZH retired/deprecated marker slug=grit-icm-as-sanctioned-primitives
ADR-0054	DELETED	frontmatter status=deprecated
ADR-0055	ADR-0050	kept:docs/decisions/ADR-0055-object-graph-renamed-to-ontology.md
ADR-0056	ADR-0051	kept:docs/decisions/ADR-0056-rust-clean-architecture-bnf.md
ADR-0057	ADR-0052	kept:docs/decisions/ADR-0057-cutover-mechanics-rename-plan-v4.md
ADR-0058	ADR-0053	kept:docs/decisions/ADR-0058-flat-microservice-catalog.md
ADR-0059	ADR-0054	kept:docs/decisions/ADR-0059-workflow-ontology-ecosystem-adapter-layer.md
ADR-0060	ADR-0055	kept:docs/decisions/ADR-0060-bominal-inheritance-precedence.md
ADR-0061	ADR-0056	kept:docs/decisions/ADR-0061-application-b2b-unified-shell.md
ADR-0062	ADR-0057	kept:docs/decisions/ADR-0062-quality-performance-scalability-bar.md
