backlog_id	title	tier_scope	owner_team	target_quarter	status
DR-001	DR drill orchestrator kernel (cell-failover primitive)	T1+T2	ops-dr-capacity	2026-Q3	planned
DR-002	Audit-chain DrDrillReceipt emit wiring	all	council-architecture	2026-Q3	planned
DR-003	Per-microservice drill harness — foundry	T1	axis-foundry	2026-Q3	planned
DR-004	Per-microservice drill harness — audit-chain	T1	council-architecture	2026-Q3	planned
DR-005	Per-microservice drill harness — observability	T1	ops-sre-reliability	2026-Q3	planned
DR-006	Per-microservice drill harness — tenancy	T1	axis-workspace	2026-Q3	planned
DR-007	Per-microservice drill harness — cell	T1	ops-dr-capacity	2026-Q3	planned
DR-008	Per-microservice drill harness — workflow-engine	T2	axis-workspace	2026-Q4	planned
DR-009	Cross-provider failover drill (per ADR-0179)	all	ops-dr-capacity	2026-Q4	planned
DR-010	Tabletop scenario library (7 scenarios)	all	council-architecture	2026-Q3	planned
DR-011	DR quarterly evidence packet emitter	all	ops-compliance	2026-Q3	planned
DR-012	Observability dashboard: dr-business-continuity	all	ops-sre-reliability	2026-Q3	planned
