path	doc_type	category	axis	status	title
/Users/jasonlee/Developer/source/docs/advanced-cicd/branch-pipeline/ADR-0055-branch-pipeline.md	adr	explanation	decision/ADR	likely-stale	ADR-DRAFT: Four-Layer Branch Pipeline with Reviewer-Agent-Gated Auto-Promotion (Supersedes
/Users/jasonlee/Developer/source/docs/advanced-cicd/branch-pipeline/agent-roles-spec.md	spec	reference	operations/runbook	likely-stale	Agent Roles — Branch-Pipeline Promotion Workers
/Users/jasonlee/Developer/source/docs/advanced-cicd/branch-pipeline/branch-pipeline-architecture.md	architecture	explanation	architecture	likely-stale	Branch Pipeline Architecture — Four-Layer Auto-Promotion
/Users/jasonlee/Developer/source/docs/advanced-cicd/branch-pipeline/branch-protection-rules.md	spec	reference	operations/runbook	likely-stale	Branch Protection Rules
/Users/jasonlee/Developer/source/docs/advanced-cicd/branch-pipeline/ci-policy-per-branch.md	spec	reference	operations/runbook	likely-stale	CI Policy Per Branch / Per Layer
/Users/jasonlee/Developer/source/docs/advanced-cicd/branch-pipeline/fitness-lanes-for-branch-pipeline.md	spec	reference	operations/runbook	likely-stale	Fitness Lanes for the Branch Pipeline
/Users/jasonlee/Developer/source/docs/advanced-cicd/branch-pipeline/foundry-pipeline-mirror.md	spec	reference	operations/runbook	likely-stale	Foundry Pipeline Mirror — Capability Stages in Lockstep with Branch Layers
/Users/jasonlee/Developer/source/docs/advanced-cicd/branch-pipeline/INDEX.md	index	reference	operations/runbook	likely-stale	Branch Pipeline Composer — INDEX
/Users/jasonlee/Developer/source/docs/advanced-cicd/branch-pipeline/playbooks-by-axis-stage.md	runbook	how-to	operations/runbook	likely-stale	Playbooks By Axis × Stage
/Users/jasonlee/Developer/source/docs/advanced-cicd/branch-pipeline/rollback-mechanics-per-stage.md	spec	reference	operations/runbook	likely-stale	Rollback Mechanics Per Stage
/Users/jasonlee/Developer/source/docs/advanced-cicd/branch-pipeline/velocity-without-stability-loss.md	other	reference	operations/runbook	likely-stale	Velocity Without Stability Loss — The Trade-Off Doc
/Users/jasonlee/Developer/source/docs/advanced-cicd/progressive-delivery/blue-green-spec.md	spec	reference	operations/runbook	likely-stale	Blue/Green Specification
/Users/jasonlee/Developer/source/docs/advanced-cicd/progressive-delivery/canary-rail-spec.md	spec	reference	operations/runbook	likely-stale	Canary Rail Specification
/Users/jasonlee/Developer/source/docs/advanced-cicd/progressive-delivery/dark-launch-spec.md	spec	reference	operations/runbook	likely-stale	Dark-Launch Specification
/Users/jasonlee/Developer/source/docs/advanced-cicd/progressive-delivery/enforcement-lanes.md	governance	explanation	operations/runbook	likely-stale	Enforcement Lanes — Progressive Delivery
/Users/jasonlee/Developer/source/docs/advanced-cicd/progressive-delivery/feature-flag-architecture.md	other	reference	operations/runbook	likely-stale	Feature-Flag Architecture — Oyatie
/Users/jasonlee/Developer/source/docs/advanced-cicd/progressive-delivery/INDEX.md	index	reference	operations/runbook	likely-stale	Progressive-Delivery + SLO-Burn-Rate-Rollback Architecture — Index
/Users/jasonlee/Developer/source/docs/advanced-cicd/progressive-delivery/playbook-ads.md	runbook	how-to	operations/runbook	current	Playbook: Ads / Analytics Rollout
/Users/jasonlee/Developer/source/docs/advanced-cicd/progressive-delivery/playbook-cloud.md	runbook	how-to	operations/runbook	current	Playbook: Cloud-Axis Rollout
/Users/jasonlee/Developer/source/docs/advanced-cicd/progressive-delivery/playbook-cross-axis-contract.md	runbook	how-to	operations/runbook	likely-stale	Playbook: Cross-Axis Contract Change
/Users/jasonlee/Developer/source/docs/advanced-cicd/progressive-delivery/playbook-foundry.md	runbook	how-to	operations/runbook	likely-stale	Playbook: Foundry Capability Rollout
/Users/jasonlee/Developer/source/docs/advanced-cicd/progressive-delivery/playbook-saas.md	runbook	how-to	operations/runbook	current	Playbook: SaaS Surface Rollout
/Users/jasonlee/Developer/source/docs/advanced-cicd/progressive-delivery/playbook-search.md	runbook	how-to	operations/runbook	likely-stale	Playbook: Search Rollout
/Users/jasonlee/Developer/source/docs/advanced-cicd/progressive-delivery/playbook-vertical-pack.md	runbook	how-to	operations/runbook	current	Playbook: Vertical-Pack Update
/Users/jasonlee/Developer/source/docs/advanced-cicd/progressive-delivery/playbook-workspace.md	runbook	how-to	operations/runbook	current	Playbook: Workspace Surface Rollout
/Users/jasonlee/Developer/source/docs/advanced-cicd/progressive-delivery/progressive-delivery-strategy.md	other	reference	operations/runbook	likely-stale	Progressive-Delivery Strategy — Oyatie
/Users/jasonlee/Developer/source/docs/advanced-cicd/progressive-delivery/slo-burn-rate-rollback-spec.md	spec	reference	operations/runbook	likely-stale	SLO Burn-Rate Rollback Specification
/Users/jasonlee/Developer/source/docs/advanced-cicd/progressive-delivery/stable-cohort-spec.md	spec	reference	operations/runbook	likely-stale	Stable Cohort Specification
/Users/jasonlee/Developer/source/docs/advanced-cicd/progressive-delivery/traffic-mirror-spec.md	spec	reference	operations/runbook	likely-stale	Traffic-Mirror Specification
/Users/jasonlee/Developer/source/docs/advanced-cicd/release-versioning/api-versioning-spec.md	spec	reference	operations/runbook	likely-stale	External API Versioning Spec — oyatie
/Users/jasonlee/Developer/source/docs/advanced-cicd/release-versioning/breaking-change-process.md	governance	explanation	operations/runbook	likely-stale	Breaking Change Process — oyatie
/Users/jasonlee/Developer/source/docs/advanced-cicd/release-versioning/crate-versioning-spec.md	spec	reference	operations/runbook	likely-stale	Crate Versioning Spec — oyatie
/Users/jasonlee/Developer/source/docs/advanced-cicd/release-versioning/enforcement-lanes.md	governance	explanation	operations/runbook	likely-stale	Enforcement Lanes — Release Versioning
/Users/jasonlee/Developer/source/docs/advanced-cicd/release-versioning/INDEX.md	index	reference	operations/runbook	likely-stale	Release-Versioning Policy — Index
/Users/jasonlee/Developer/source/docs/advanced-cicd/release-versioning/release-branch-cut-spec.md	spec	reference	operations/runbook	likely-stale	Release Branch Cut Spec — oyatie
/Users/jasonlee/Developer/source/docs/advanced-cicd/release-versioning/release-cherry-pick-agent-spec.md	governance	explanation	operations/runbook	likely-stale	Release Cherry-Pick Agent Spec — oyatie
/Users/jasonlee/Developer/source/docs/advanced-cicd/release-versioning/release-versioning-strategy.md	other	reference	operations/runbook	likely-stale	Release Versioning Strategy — oyatie
/Users/jasonlee/Developer/source/docs/advanced-cicd/release-versioning/version-eol-policy.md	governance	explanation	operations/runbook	likely-stale	Version EOL Policy — oyatie
/Users/jasonlee/Developer/source/docs/advanced-cicd/release-versioning/versioning-comparison-matrix.md	reference	reference	operations/runbook	likely-stale	Versioning Comparison Matrix — oyatie
/Users/jasonlee/Developer/source/docs/AGENT-INSTRUCTION-SOURCES.md	index	reference	index/meta	likely-stale	Agent Instruction Sources
/Users/jasonlee/Developer/source/docs/AGENTS-OPERATING-CONTRACT.md	governance	explanation	governance/compliance	likely-stale	Agents Operating Contract Doctrine References
/Users/jasonlee/Developer/source/docs/AGENTS.md	governance	explanation	governance/compliance	likely-stale	Oyatie Agent Operating Contract
/Users/jasonlee/Developer/source/docs/agents/AGENT-CHEAT-SHEET.md	governance	explanation	governance/compliance	current	Agent Cheat Sheet
/Users/jasonlee/Developer/source/docs/agents/AGENT-COMPLETION-PROTOCOL.md	governance	explanation	governance/compliance	current	Agent Completion Protocol
/Users/jasonlee/Developer/source/docs/agents/AGENT-DECISION-TREE.md	governance	explanation	governance/compliance	current	Agent Decision Tree
/Users/jasonlee/Developer/source/docs/agents/AGENT-ENTRY-POINT.md	governance	explanation	governance/compliance	current	Oyatie Agent Entry Point
/Users/jasonlee/Developer/source/docs/agents/AGENT-FAILURE-RECOVERY.md	governance	explanation	governance/compliance	current	Agent Failure Recovery
