path	doc_type	category	axis	status	title
/Users/jasonlee/Developer/source/docs/architecture/adr-corpus-line-audit-2026-05-21.md	research	reference	research	current	Line-by-line ADR corpus audit
/Users/jasonlee/Developer/source/docs/architecture/adr-cross-reference-graph-2026-05-20.md	research	reference	research	orphan	ADR cross-reference graph audit
/Users/jasonlee/Developer/source/docs/architecture/agent-deliverable-verification-audit-2026-05-20.md	research	reference	research	orphan	Agent deliverable verification audit
/Users/jasonlee/Developer/source/docs/architecture/audit-event-coverage-sweep-2026-05-20.md	research	reference	research	current	Audit-event coverage sweep
/Users/jasonlee/Developer/source/docs/architecture/corpus-rigor-audit-2026-05-20-mid-remediation-snapshot.md	research	reference	research	likely-stale	Corpus rigor mid-remediation snapshot
/Users/jasonlee/Developer/source/docs/architecture/corpus-rigor-audit-2026-05-20.md	research	reference	research	likely-stale	Corpus rigor audit (Wave-3-A)
/Users/jasonlee/Developer/source/docs/architecture/corpus-rigor-audit-2026-05-21-post-wave-3-g.md	research	reference	research	current	Corpus rigor audit post-Wave-3-G
/Users/jasonlee/Developer/source/docs/architecture/day-in-the-life-coherent-ecosystem-2026-05-21.md	architecture	explanation	architecture	current	Day-in-life ecosystem narratives
/Users/jasonlee/Developer/source/docs/architecture/enterprise-software-coverage-matrix-2026-05-21.md	reference	reference	architecture	current	Enterprise software coverage matrix
/Users/jasonlee/Developer/source/docs/architecture/foundry-fitness-to-governance-transition-2026-05-21.md	governance	how-to	governance	likely-stale	Foundry-fitness to governance transition
/Users/jasonlee/Developer/source/docs/architecture/hyperscaler-pattern-attribution.md	reference	reference	architecture	current	Hyperscaler-pattern attribution matrix
/Users/jasonlee/Developer/source/docs/architecture/ip-corpus-line-audit-2026-05-21.md	research	reference	research	current	IP corpus line audit
/Users/jasonlee/Developer/source/docs/architecture/ip-cross-reference-sweep-2026-05-20.md	research	reference	research	current	IP cross-reference integrity sweep
/Users/jasonlee/Developer/source/docs/architecture/keystone-bundle-2026-05-20-lessons-learned.md	research	explanation	research	current	Keystone bundle lessons learned
/Users/jasonlee/Developer/source/docs/architecture/keystone-bundle-2026-05-20-synthesis.md	architecture	explanation	decision	current	Keystone bundle synthesis verdict
/Users/jasonlee/Developer/source/docs/architecture/keystone-bundle-audit-report.md	research	reference	research	current	Keystone bundle audit report
/Users/jasonlee/Developer/source/docs/architecture/keystone-bundle-idea-refine-deep-dive.md	architecture	explanation	architecture	current	Keystone bundle adversarial deep-dive
/Users/jasonlee/Developer/source/docs/architecture/keystone-bundle-intern-walkthrough.md	guide	tutorial	architecture	current	Keystone bundle intern walkthrough
/Users/jasonlee/Developer/source/docs/architecture/keystone-bundle-reading-order.md	index	explanation	index/meta	current	Keystone bundle reading order
/Users/jasonlee/Developer/source/docs/architecture/memory-spec-runbook-audit-2026-05-21.md	research	reference	research	current	Memory spec runbook audit
/Users/jasonlee/Developer/source/docs/architecture/microservices-corpus-line-audit-2026-05-21.md	research	reference	research	current	Microservices corpus line audit
/Users/jasonlee/Developer/source/docs/architecture/persona-journey-microservice-cross-coverage-matrix-2026-05-21.md	reference	reference	architecture	current	Persona-journey-microservice coverage matrix
/Users/jasonlee/Developer/source/docs/architecture/persona-journey-microservice-integrity-sweep-2026-05-20.md	research	reference	research	orphan	Persona-journey-microservice integrity sweep
/Users/jasonlee/Developer/source/docs/architecture/product-graph.md	architecture	reference	architecture	current	Product graph architecture map
/Users/jasonlee/Developer/source/docs/architecture/six-hops-reachability-audit-2026-05-20.md	research	reference	research	current	Six-hops reachability audit
/Users/jasonlee/Developer/source/docs/architecture/standards-corpus-line-audit-2026-05-21.md	research	reference	research	current	Standards corpus line audit
/Users/jasonlee/Developer/source/docs/architecture/training-cost-doctrine-2026-05-21.md	architecture	explanation	architecture	current	Training cost doctrine
/Users/jasonlee/Developer/source/docs/architecture/unified-ecosystem-thesis-2026-05-21.md	architecture	explanation	architecture	current	Unified ecosystem thesis manifesto
/Users/jasonlee/Developer/source/docs/architecture/wave-3-final-scorecard-2026-05-20.md	research	reference	research	orphan	Wave-3 final corpus scorecard
/Users/jasonlee/Developer/source/docs/architecture/wave-3-g-executive-briefing-2026-05-20-post-remediation.md	research	explanation	research	duplicate	Wave-3-G executive briefing post-remediation
/Users/jasonlee/Developer/source/docs/architecture/wave-3-g-executive-briefing-2026-05-21.md	research	explanation	research	current	Wave-3-G executive briefing
/Users/jasonlee/Developer/source/docs/architecture/wave-3-g-synthesis-adjudication-2026-05-21.md	architecture	explanation	decision	current	Wave-3-G synthesis adjudication
/Users/jasonlee/Developer/source/docs/architecture/wave-3-retrospective-2026-05-20.md	research	explanation	research	orphan	Wave-3 retrospective
/Users/jasonlee/Developer/source/docs/architecture/diagrams/ai-substrate-two-layer-architecture.md	architecture	reference	architecture	current	AI substrate two-layer architecture
/Users/jasonlee/Developer/source/docs/architecture/diagrams/audit-chain-emission-pipeline.md	architecture	reference	architecture	current	Audit chain emission pipeline
/Users/jasonlee/Developer/source/docs/architecture/diagrams/capability-tier-projection-flow.md	architecture	reference	architecture	current	Capability tier projection flow
/Users/jasonlee/Developer/source/docs/architecture/diagrams/cedar-policy-evaluation-flow.md	architecture	reference	architecture	current	Cedar policy evaluation flow
/Users/jasonlee/Developer/source/docs/architecture/diagrams/cell-routing-shuffle-sharding.md	architecture	reference	architecture	current	Cell routing shuffle sharding
/Users/jasonlee/Developer/source/docs/architecture/diagrams/compliance-pack-overlay-precedence.md	architecture	reference	governance	current	Compliance pack overlay precedence
/Users/jasonlee/Developer/source/docs/architecture/diagrams/dual-tenant-identity-boundary.md	architecture	reference	architecture	current	Dual tenant identity boundary
/Users/jasonlee/Developer/source/docs/architecture/diagrams/inter-microservice-call-graph.md	architecture	reference	architecture	current	Inter-microservice call graph
/Users/jasonlee/Developer/source/docs/architecture/diagrams/marketplace-deal-settlement-flow.md	architecture	reference	architecture	current	Marketplace deal settlement flow
/Users/jasonlee/Developer/source/docs/architecture/diagrams/tenant-lifecycle-state-machine.md	architecture	reference	architecture	current	Tenant lifecycle state machine
